"VariableName","VariableDescription","VariableUnit","VariableType"
"L_intrede","Afstand van uittredepunt tot geometrische intredelijn","m","Input"
"L_but","Afstand van uittredepunt tot buitenteenlijn","m","Input"
"L_bit","Afstand van uittredepunt tot binnenteenlijn","m","Input"
"L_achterland","Afstand van uittredepunt tot Achterlandlengte","m","Input"
"mv_exit","Bodemhoogte ter plaatse van uittredepunt","m+NAP","Input"
"mv_achterland_vak","Representatieve bodemhoogte achterland binnen een vak","m+NAP","Input"
"polderpeil","Polderpeil ter plaatse van uittredepunt","m+NAP","Input"
"top_zand","Geschematiseerde top van het zak in het vak","m+NAP","Input"
"gamma_sat_deklaag","Gemiddeld volumegewicht van de deklaag","kN/m^3","Input"
"d_deklaag","Dikte van de cohesieve deklaag","m","Calculated"
"d_deklaag_vak","Dikte van de cohesieve deklaag van het vak","m","Calculated"
"gamma_water","Volumegewicht van water","kN/m^3","Constant"
"kD_wvp","Transmissiviteit van het watervoerende pakket","m^2/dag","Input"
"D_wvp","Dikte van het watervoerende pakket","m","Input"
"k_wvp","Doorlatendheid van het watervoerende pakket","m/d","Calculated"
"d70","70% percentiel van de korrelverdeling","m","Input"
"c_voorland","Weerstand van de deklaag in het voorland","dag","Input"
"c_achterland","Weerstand van de deklaag in het achterland","dag","Input or calculated"
"modelfactor_u","modelfactor voor uplift","[-]","Input"
"modelfactor_h","modelfactor voor heave","[-]","Input"
"modelfactor_p","modelfactor voor piping","[-]","Input"
"i_c_h","Kritieke heave gradiënt","[-]","Constant"
"r_c_deklaag","Reductieconstante van het verval over de deklaag","[-]","Constant"
"buitenwaterstand","Buitenwaterstand","m+NAP","Input"
"eta","White's weerstandscoefficient (sleepkrachtfactor, constante van White) – Sellmeijer [-]","[-]","Constant"
"r_exit","Dempingsfactor bij uittredepunt","[-]","Calculated"
"phi_exit","Theoretische stijghoogte bij uittredepunt","m+NAP","Calculated"
"h_exit","Benedestroomse randvoorwaarde verval","m+NAP","Calculated"
"L_kwelweg","Kwelweglengte","m","Calculated"
"theta","Rolweerstandshoek – Sellmeijer","[graden]","Constant"
"d70_m","Referentiewaarde voor de 70% percentiel van de korrelverdeling – Sellmeijer","m","Constant"
"g","Zwaartekrachtversnelling – 9,81 m/s²","m/s^2","Constant"
"v","Kinematische viscositeit – Sellmeijer","m²/s","Constant"
"gamma_korrel","Volumieke dichtheid zand onder water – Sellmeijer","kN/m^3","Constant"
"dphi_c_u","grenspotentiaal ten opzicht van maaiveld","m","Calculated"
"dh_red","Gereduceerd verval","m","Calculated"
"i_exit","Optredende heave gradient","[-]","Calculated"
"dh_c","Kritiek verval Sellmeijer","m","Calculated"
"Z_u","Grenstoestand Uplift","[-]","Calculated"
"Z_h","Grenstoestand Heave","[-]","Calculated"
"Z_p","Grenstoestand Piping","[-]","Calculated"
"Z_combi","Gecombineerde grenstoestand","[-]","Calculated"
"L_voorland","Geometrische voorlandlengte","m","Calculated"
"L_dijk","Dijkzate","m","Calculated"
"lambda_voorland","Spreidingslengte van het voorland","m","Calculated"
"lambda_achterland","Spreidingslengte van het achterland","m","Calculated"
"W_voorland","Geohydrologische weerstand van het voorland","m","Calculated"
"W_achterland","Geohydrologische weerstand van het achterland","m","Calculated"
"FoS_u","Veiligheidsfactor Uplift","[-]","Calculated"
"FoS_h","Veiligheidsfactor Heave","[-]","Calculated"
"FoS_p","Veiligheidsfactor Piping","[-]","Calculated"
"k_v_boven_gws","Verticale doorlatendheid deklaag boven grondwaterstand","m/d","Constant"
"k_v_onder_gws","Verticale doorlatendheid deklaag onder grondwaterstand","m/d","Constant"
"gws_m_mv","Grondwaterstand meters min maaiveld (scheiding verticale doorlatendheid)","m","Constant"
