Level,Exceedance_Frequency
3.586,5.86082403
3.686,5.66715759
3.786,5.37800029
3.886,5.03955286
3.986,4.65422534
4.086,4.25895799
4.186,3.87473238
4.286,3.4946515
4.386,3.16913082
4.486,2.87305072
4.586,2.60476
4.686,2.36236175
4.786,2.14137909
4.886,1.95592542
4.986,1.79941894
5.086,1.66965893
5.186,1.56109352
5.286,1.45785137
5.386,1.34839483
5.486,1.23049159
5.586,1.10195949
5.686,0.972351541
5.786,0.852178144
5.886,0.745570882
5.986,0.653309851
6.086,0.57226996
6.186,0.507372845
6.286,0.455555565
6.386,0.413471011
6.486,0.377025191
6.586,0.344538549
6.686,0.312729867
6.786,0.285667641
6.886,0.260376924
6.986,0.236387057
7.086,0.212597359
7.186,0.187947097
7.286,0.163624477
7.386,0.140761641
7.486,0.119296711
7.586,0.0998199898
7.686,0.0828114163
7.786,0.0684686435
7.886,0.0571681563
7.986,0.0480819547
8.086,0.0400199856
8.186,0.0337491654
8.286,0.0280634018
8.386,0.0234993639
8.486,0.019523801
8.586,0.0162010836
8.686,0.0134446987
8.786,0.0110803622
8.886,0.00891552984
8.986,0.00697635452
9.086,0.00540370571
9.186,0.00406119701
9.286,0.00287141843
9.386,0.00200511735
9.486,0.00134678614
9.586,0.000867293232
9.686,0.000563885163
9.786,0.000339243143
9.886,0.000194149581
9.986,0.000105695088
10.086,6.29898933e-05
10.186,3.67998314e-05
10.286,2.21641306e-05
10.386,1.41027935e-05
10.486,9.02138407e-06
10.586,5.68953915e-06
10.686,3.55528158e-06
10.786,2.25311343e-06
10.886,1.40811258e-06
10.986,9.01344258e-07
11.086,5.60828605e-07
11.186,3.47763638e-07
11.286,2.15759828e-07
11.386,1.30680626e-07
11.486,8.06021806e-08
11.586,4.6956722e-08
11.686,2.60818195e-08
11.786,1.32012175e-08
11.886,5.8894924e-09
